100 105000
0.00 
98481.60 156.717
98481.60 156.717
100 107000
0.00 
100068.50 157.607
100068.50 157.607
100 109000
0.00 
101852.07 158.497
101852.07 158.497
100 111000
0.00 
103107.07 159.388
103107.07 159.388
100 113000
0.00 
103202.77 160.278
103202.77 160.278
100 115000
0.00 
103236.67 161.169
103236.67 161.169
100 117000
0.00 
103268.43 162.059
103268.43 162.059
100 119000
0.00 
103256.83 162.950
103256.83 162.950
100 121000
0.00 
103286.90 163.840
103286.90 163.840
100 123000
0.00 
103285.07 164.730
103285.07 164.730
100 125000
0.00 
103272.63 165.621
103272.63 165.621
95 72000
3417.30 23.708
65248.87 138.908
68666.17 137.127
95 74000
3515.83 23.930
67049.27 139.798
70565.10 138.017
95 76000
3603.57 24.264
68734.20 141.579
72337.77 139.798
95 78000
3696.43 24.264
70543.50 142.470
74239.93 140.689
95 80000
3784.13 24.153
72219.00 143.360
76003.13 141.579
95 82000
3875.83 24.487
73958.33 144.250
77834.17 142.470
95 84000
3964.50 24.710
75635.13 145.141
79599.63 143.360
95 86000
4060.30 24.710
77434.53 146.922
81494.83 145.141
95 88000
4147.70 24.932
79084.70 147.812
83232.40 146.031
95 90000
4238.53 25.155
80848.33 148.703
85086.87 146.922
95 92000
4323.90 25.600
82483.80 150.483
86807.70 148.703
95 94000
4413.30 25.489
84228.80 161.169
88642.10 158.497
95 96000
4502.53 25.823
85891.73 152.264
90394.27 150.483
95 98000
4592.97 25.823
87640.03 153.155
92233.00 151.374
95 100000
4678.43 26.157
89282.67 154.045
93961.10 152.264
95 102000
4770.53 26.379
91022.00 154.936
95792.53 153.155
95 104000
4856.57 26.379
92651.47 155.826
97508.03 154.045
95 106000
4944.23 26.824
94293.43 156.717
99237.67 154.936
95 108000
5033.10 26.936
95987.97 157.607
101021.07 155.826
95 110000
5125.43 26.936
97700.60 158.497
102826.03 156.717
95 112000
5209.37 27.270
99250.37 170.963
104459.73 168.292
95 114000
5297.40 27.381
100909.07 172.744
106206.47 170.073
90 55000
5273.77 22.595
47685.23 143.360
52959.00 138.017
90 57000
5462.47 22.483
49410.87 131.784
54873.33 128.223
90 59000
5645.37 22.595
51068.67 132.675
56714.03 129.113
90 61000
5837.20 22.817
52788.20 134.456
58625.40 130.894
90 63000
6018.10 22.929
54423.00 135.346
60441.10 131.784
90 65000
6204.67 23.151
56088.27 137.127
62292.93 133.565
90 67000
6392.27 23.151
57748.53 138.908
64140.80 134.456
90 69000
6577.13 23.485
59407.07 140.689
65984.20 136.237
90 71000
6753.03 23.485
60987.37 141.579
67740.40 137.127
90 73000
6943.93 23.819
62679.80 143.360
69623.73 138.908
90 75000
7124.70 23.819
64304.97 144.250
71429.67 139.798
90 77000
7315.67 23.930
66030.73 146.031
73346.40 141.579
90 79000
7487.40 24.264
67600.90 146.922
75088.30 142.470
90 81000
7674.50 24.264
69294.10 148.703
76968.60 144.250
90 83000
7849.57 24.598
70875.87 149.593
78725.43 145.141
90 85000
8033.83 24.710
72487.57 150.483
80521.40 146.922
90 87000
8220.73 24.932
74129.00 152.264
82349.73 147.812
90 89000
8402.67 25.043
75793.23 153.155
84195.90 148.703
90 91000
8567.83 25.266
77272.80 154.045
85840.63 150.483
90 93000
8760.47 25.489
79004.87 155.826
87765.33 151.374
90 95000
8932.57 25.600
80582.57 156.717
89515.13 152.264
90 97000
9119.10 25.823
82239.73 158.497
91358.83 154.045
90 99000
9291.50 25.934
83793.80 159.388
93085.30 154.936
90 101000
9475.03 26.045
85440.00 160.278
94915.03 155.826
90 103000
9651.67 26.490
87046.50 162.059
96698.17 157.607
90 105000
9830.37 26.602
88661.60 162.950
98491.97 158.497
85 44000
6397.37 21.704
36328.40 124.661
42725.77 119.318
85 46000
6677.07 21.816
37941.63 125.551
44618.70 120.209
85 48000
6952.70 21.816
39502.33 127.332
46455.03 121.990
85 50000
7236.17 22.261
41146.70 129.113
48382.87 123.770
85 52000
7519.17 22.150
42713.37 130.894
50232.53 124.661
85 54000
7800.93 22.372
44331.47 132.675
52132.40 126.442
85 56000
8073.87 22.372
45886.57 133.565
53960.43 127.332
85 58000
8354.37 22.706
47474.33 135.346
55828.70 129.113
85 60000
8623.80 22.817
48990.30 137.127
57614.10 130.894
85 62000
8912.10 22.929
50628.10 138.908
59540.20 131.784
85 64000
9189.20 23.151
52181.90 140.689
61371.10 133.565
85 66000
9474.30 23.040
53788.17 142.470
63262.47 134.456
85 68000
9740.13 23.374
55285.10 144.250
65025.23 136.237
85 70000
10023.37 23.485
56879.37 146.031
66902.73 138.017
85 72000
10289.67 23.708
58390.87 147.812
68680.53 139.798
85 74000
10579.40 23.819
60000.97 149.593
70580.37 141.579
85 76000
10839.80 24.042
61469.77 150.483
72309.57 142.470
85 78000
11118.43 24.153
63069.37 167.402
74187.80 155.826
85 80000
11394.70 24.264
64641.57 153.155
76036.27 145.141
85 82000
11670.37 24.487
66211.77 154.936
77882.13 146.922
85 84000
11936.93 24.598
67691.27 155.826
79628.20 148.703
85 86000
12226.90 24.821
69297.07 157.607
81523.97 149.593
85 88000
12484.07 25.043
70755.03 183.430
83239.10 164.730
85 90000
12764.63 25.155
72347.07 160.278
85111.70 152.264
85 92000
13027.63 25.489
73841.93 162.059
86869.57 153.155
85 94000
13296.23 25.489
75366.50 188.772
88662.73 168.292
85 96000
13562.10 25.711
76859.23 165.621
90421.33 156.717
80 37000
7194.07 21.259
28830.73 130.894
36024.80 120.209
80 39000
7585.10 21.482
30395.23 121.990
37980.33 112.640
80 41000
7976.47 21.593
31938.83 123.770
39915.30 114.866
80 43000
8353.33 21.704
33434.60 125.551
41787.93 117.537
80 45000
8730.57 21.704
